asset,n_windows,mean_tp_h1,median_tp_h1,std_tp_h1,mean_volatility_window,mean_volatility_annualized,n_above_envelope,n_below_envelope,n_inside_envelope,prop_above_envelope,prop_below_envelope,prop_inside_envelope,spearman_rho_tp_h1_volatility,p_value_tp_h1_volatility
ABEV3.SA,783,2.6052766484928007,2.484405755996704,1.0701307985614534,0.015324120095607323,0.24326286500318592,34,9,740,0.04342273307790549,0.011494252873563218,0.9450830140485313,-0.04789134544372471,0.18065875886987695
ITUB4.SA,783,3.2507100485141556,3.1026182174682617,1.171634544383545,0.018044252638510692,0.2864436304531222,36,7,740,0.04597701149425287,0.008939974457215836,0.9450830140485313,-0.32173154119218905,2.5827230981319584e-20
LREN3.SA,783,3.202970904599052,3.2048031091690063,1.1924294169463783,0.02296057144332765,0.36448777199385807,23,23,737,0.02937420178799489,0.02937420178799489,0.9412515964240102,-0.030285003313794374,0.3973969135414579
PETR4.SA,783,2.654270311919818,2.53244411945343,1.0971728141303434,0.025102709866781762,0.39849316524787126,44,8,731,0.0561941251596424,0.010217113665389528,0.933588761174968,-0.01113671355598711,0.7556935572600901
VALE3.SA,783,2.3095347550941456,2.2000652551651,0.9330118179349576,0.022637109874842742,0.35935297878047023,58,4,721,0.07407407407407407,0.005108556832694764,0.9208173690932312,0.014453382552421267,0.6863513402097252
WEGE3.SA,783,3.1717810254367986,3.075085163116455,1.1903825850914682,0.01852939450935141,0.29414501889809713,39,8,736,0.04980842911877394,0.010217113665389528,0.9399744572158365,-0.15885692107927626,7.952967340813703e-06
