asset,ABEV3.SA,ITUB4.SA,LREN3.SA,PETR4.SA,VALE3.SA,WEGE3.SA
ABEV3.SA,1.0,0.05962362456226868,0.0031833323830114863,-0.11134536273279927,-0.04002818018761727,0.09976376857589613
ITUB4.SA,0.05962362456226868,1.0,0.06502371225910937,0.05114162106621759,-0.047502034296977164,0.08485555641546974
LREN3.SA,0.0031833323830114863,0.06502371225910937,1.0,0.05384117799646542,-0.02944723690193812,-0.010685533850860034
PETR4.SA,-0.11134536273279927,0.05114162106621759,0.05384117799646542,1.0,0.07609213100532566,0.09960115980425154
VALE3.SA,-0.04002818018761727,-0.047502034296977164,-0.02944723690193812,0.07609213100532566,1.0,-0.0037272030251380914
WEGE3.SA,0.09976376857589613,0.08485555641546974,-0.010685533850860034,0.09960115980425154,-0.0037272030251380914,1.0
